Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S155219632,Northern Shoveler,Spatula clypeata,501,30,US-CA,Modoc,L10168448,Lava Beds NM--West Overlook Tule Lake,41.8364067,-121.4533523,2023-11-25,11:41 AM,eBird - Traveling Count,59,1,7.033,,2,,,Heard multiple sandhill cranes but unable to locate
S159033936,Northern Shoveler,Spatula clypeata,501,1,US-CA,Monterey,L1152129,Elkhorn Slough--Strawberry Road pond only,36.8295421,-121.7307107,2024-01-15,09:27 AM,eBird - Stationary Count,15,1,,,2
S157663568,Northern Shoveler,Spatula clypeata,501,40,US-CA,San Joaquin,L468580,Staten Island,38.2020281,-121.5043546,2023-12-31,11:33 AM,eBird - Traveling Count,95,1,14.001,,2
S156126263,Northern Shoveler,Spatula clypeata,501,200,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2023-12-10,02:58 PM,eBird - Traveling Count,96,1,1.593,,2
S155071901,Gadwall,Mareca strepera,505,100,US-CA,Glenn,L837268,Sacramento NWR--Auto Route & Visitor Center,39.4284385,-122.1564999,2023-11-23,10:44 AM,eBird - Traveling Count,83,1,7.91,,2
S143511017,Gadwall,Mareca strepera,505,X,US-CA,Mono,L25677016,Mono Lake Park,38.0140695,-119.1458085,2023-07-03,,eBird - Casual Observation,,0,,,1
S172336031,Gadwall,Mareca strepera,505,3,US-CA,Yolo,L448084,Woodland WTP,38.6624345,-121.7173585,2024-05-05,04:10 PM,eBird - Traveling Count,104,1,1.837,,1
S291468228,American Wigeon,Mareca americana,517,20,CA-BC,Metro Vancouver,L285192,Deer Lake Park,49.2376833,-122.9678577,2025-12-31,12:33 PM,eBird - Traveling Count,70,1,4.18,,2
S291976245,American Wigeon,Mareca americana,517,2,CA-BC,Metro Vancouver,L28950917,Vancouver--Sunset Beach Park,49.2794246,-123.1380916,2026-01-02,01:37 PM,eBird - Traveling Count,60,1,2.25,,2
S294413511,American Wigeon,Mareca americana,517,30,CA-BC,Metro Vancouver,L196159,Vancouver--Trout Lake (John Hendry Park),49.255958,-123.062325,2026-01-15,04:08 PM,eBird - Traveling Count,30,1,.8,,2
S298148373,American Wigeon,Mareca americana,517,2,CA-BC,Metro Vancouver,L196159,Vancouver--Trout Lake (John Hendry Park),49.255958,-123.062325,2026-02-04,04:21 PM,eBird - Traveling Count,30,1,1.29,,2
S155219632,American Wigeon,Mareca americana,517,2,US-CA,Modoc,L10168448,Lava Beds NM--West Overlook Tule Lake,41.8364067,-121.4533523,2023-11-25,11:41 AM,eBird - Traveling Count,59,1,7.033,,2,,,Heard multiple sandhill cranes but unable to locate
S281770138,Chiloe Wigeon,Mareca sibilatrix,524,1,CL-AI,Cochrane,L21400929,PN Patagonia- Sendero Laguna Cisne,-47.1136789,-72.4822086,2025-10-25,10:43 AM,eBird - Traveling Count,45,1,16.09,,2
